days_real,days_scheduled,target,shipping_mode,origin_city,dest_city,origin_country,dest_country,carrier_id,region,data_source,route_key,lead_time,shipping_mode_encoded,service_tier_encoded,precipitation_mm,wind_speed_kmh,extreme_weather_flag,weather_severity_index,port_wait_times,demurrage_risk_flag,news_sentiment_score,labor_strike_probability,geopolitical_risk_score
17,37,0,standard,pr,brazil_customer,brazil,brazil,olist_carrier,south_america,1,brazil->brazil,37,0,1,29.903300816808457,5.13969546369922,1,43.503228965833145,8.266540976064839,0,0.37020197521879483,0.4367023727887473,0.2775523793960067
5,5,0,reguler,pontianak utara,pontianak,indonesia,indonesia,ninja xpress,southeast_asia,2,indonesia->indonesia,5,0,1,2.860364108447344,11.00626922181505,1,34.446026409923455,9.47763332776693,0,-0.7730739542179459,0.2286921121769407,0.08634415375132101
2,2,0,reguler,bulak,surabaya,indonesia,indonesia,j&t express,southeast_asia,2,indonesia->indonesia,2,0,1,9.645566671212688,12.258020159276482,0,7.53563271626802,21.144323841435398,0,-0.734664480920141,0.23245445050370364,0.08291350610856245
5,5,0,same day,coblong,bandung,indonesia,indonesia,jne,southeast_asia,2,indonesia->indonesia,5,2,1,1.9712618887009776,5.527100930602634,0,2.446635034661181,14.469284302603093,0,-0.16889093715449954,0.020457678332542407,0.08515722990785354
4,37,0,standard,rs,brazil_customer,brazil,brazil,olist_carrier,south_america,1,brazil->brazil,37,0,1,14.193612216570163,12.607860697031402,0,9.459803095737486,1.6395096866676369,0,-0.9093507226504329,0.23792045048377927,0.410588428592666
4,4,0,same day,pontianak tenggara,pontianak,indonesia,indonesia,sicepat,southeast_asia,2,indonesia->indonesia,4,2,1,8.498968166523614,21.757057103600065,0,9.926704397689466,14.511652797914422,0,0.14772829325934378,0.031164614432833332,0.27136882209708
4,4,0,express,sambikerep,surabaya,indonesia,indonesia,ninja xpress,southeast_asia,2,indonesia->indonesia,4,1,1,22.670908094361707,17.591189758210398,0,14.345720165207801,7.988137333593907,0,-0.1290298781983228,0.19963595302669912,0.4177363292501888
3,3,0,same day,jebres,surakarta,indonesia,indonesia,sicepat,southeast_asia,2,indonesia->indonesia,3,2,1,0.9265885180132543,3.80053834672718,0,1.5107969112234556,5.539390442303873,0,-0.22178722696634212,0.08535520235781274,0.08757463045897977
6,9,0,standard,sp,brazil_customer,brazil,brazil,olist_carrier,south_america,1,brazil->brazil,9,0,1,11.460276666146784,1.9954015455970906,0,5.182731130137841,7.766100902617082,0,-0.07384378600307295,0.1602725024673749,0.1533722860598753
2,2,1,express,sagulung,batam,indonesia,indonesia,j&t express,southeast_asia,2,indonesia->indonesia,2,1,1,0.995207014005664,26.008295262130357,0,88.46353333203766,30.251499967161458,0,0.3866734554539535,0.7314744914953513,0.2349434953178252
1,1,0,next day,serpong utara,tangerang,indonesia,indonesia,ninja xpress,southeast_asia,2,indonesia->indonesia,1,0,1,19.448536929501294,3.0526140763139713,0,8.695198994694708,1.7606099007803575,0,0.38653535005023865,0.09188511604167911,0.17315887081878406
3,2,0,second class,ho chi minh city,saint paul,vietnam,ee. uu.,second class,usa_global,0,vietnam->ee. uu.,2,0,1,16.455419587691647,4.692120892055826,0,98.1801644984401,47.347398109471314,0,0.20541456936383473,0.7504632157507918,0.33474667255665325
